season,average_day_temp,average_night_temp,daily_sunshine_hours,daily_rainfall,suitability
2,25.2,19.9,9.434392810942002,0.0043944623451145,0
2,23.2,20.0,11.36800999992881,0.0177864443398253,0
0,32.6,21.0,4.376197283557302,4.061643803567232,0
0,33.7,22.7,9.624098435860985,1.7309629836938567,0
0,30.7,22.0,6.283966008349818,1.5861186740821245,0
2,24.1,19.6,5.13630894476661,0.0487941818226305,0
1,28.4,21.3,6.413508430045046,8.145983607241307,1
2,22.1,19.1,8.430932051369481,0.1324908746672094,0
0,28.2,22.1,6.862227984310827,1.50150353558643,0
2,24.0,19.5,5.810667444757051,0.2209790886782942,0
2,24.4,19.8,9.268052481891091,0.3198788107436471,0
0,31.2,21.4,7.528839519647748,2.1526190329465016,1
0,28.7,21.5,7.870715578657728,1.6470307688016033,0
0,30.2,21.3,9.897611779070663,1.8521102793575568,0
1,28.7,20.8,6.382922289395479,3.7583956602872113,1
1,28.9,20.9,5.724144209146963,3.578098494594565,0
1,29.3,20.4,7.705355039294748,1.694831790912554,0
0,30.0,21.2,3.0278936659303275,3.8108959509320193,0
1,28.7,21.2,5.508755819484471,2.034878695824384,0
0,29.3,22.0,6.238526213783182,6.131483888879019,1
0,26.8,22.1,8.021552581224917,3.1038414583106717,1
1,28.1,21.0,6.555924444189193,5.024429826141605,1
1,27.5,21.5,6.949839394172473,2.8799091925400275,1
2,24.6,19.6,6.398629913507746,1.109409516902949,0
0,28.1,22.0,7.131976609305313,2.6806784877972536,1
1,28.9,21.9,5.612146024278005,4.919398307997668,0
1,27.8,21.8,5.093692033806672,3.47901192267138,0
0,27.0,22.0,6.043273068725352,3.674880820539181,1
1,28.0,21.5,5.733557705857274,1.7562930062290172,0
0,28.8,22.1,3.862051552745869,5.82383731163416,0
0,27.7,20.6,7.358643680033894,2.7169341180565456,1
2,26.7,19.7,7.701500120871852,0.3082794228176426,0
2,24.3,19.6,10.410437061061153,0.4206724324743769,0
2,25.7,19.5,6.658632311324856,0.448881879455383,0
1,28.5,20.8,6.376130503185602,1.7522607914672124,0
0,26.7,22.2,9.738770929131512,3.95151951958297,1
1,28.1,20.9,6.660608869709424,0.97296587146099,0
1,27.3,20.6,5.66276175027991,1.3515969028403907,0
0,29.4,22.7,8.242189104481799,4.798221204112957,1
1,27.4,20.7,4.752212495018485,1.2099201541485924,0
0,28.0,20.8,5.603255869708247,6.19697339656808,0
2,24.8,19.8,9.56711665115713,0.6756729339138754,0
0,29.6,20.5,5.339449894978987,2.515512466937741,0
1,27.6,20.2,8.431241323943754,2.914495426891408,1
1,27.1,20.6,6.147389209090528,2.312029001521047,1
1,28.2,20.8,7.282290240503091,2.8206249194787314,1
1,27.2,21.3,6.47974913125746,8.144238790294503,1
0,29.3,20.6,8.470310943738601,2.6334652637063507,1
2,25.6,20.4,7.603168011148883,2.020206341236373,1
2,24.7,20.3,8.799613415289809,0.8956497374416957,0
2,25.5,20.5,5.454114163518345,1.5586072244245353,0
2,26.0,20.3,6.506468332193812,0.5335024553269103,0
1,26.8,22.0,5.841951202496249,8.127323508013998,0
2,24.5,20.3,10.24700652877826,0.4680749298283294,0
0,31.0,21.9,6.572933042229308,5.14057473399835,1
0,31.1,21.1,3.3711772693516338,2.8213124545892736,0
0,30.4,21.9,3.594677134789976,5.862008436156569,0
1,26.5,21.8,4.436030742642359,11.162962352407831,0
1,27.9,21.2,5.401586384001617,4.95438560701805,0
0,29.7,22.1,8.290690389724661,6.812996779385935,1
2,24.3,20.7,11.731039366046993,0.4420611272979174,0
1,28.3,21.7,5.875893036696679,6.481070365200802,0
0,29.2,21.7,4.683183093211055,3.460010518178521,0
1,28.3,21.2,4.257315139184175,4.613610623173614,0
0,28.5,21.6,5.773644415483713,4.884079861826922,0
2,23.4,20.4,7.925401169291106,0.4952156708814893,0
0,29.5,21.6,7.666755230112099,3.991124574728409,1
2,24.2,20.4,6.846912737322288,1.4404573459839385,0
2,24.6,19.8,9.42854562702776,0.3700832016218747,0
0,31.0,21.3,7.260930506747981,1.5125491538129978,0
0,32.8,22.4,6.496529016069276,1.2062536391208374,0
2,24.0,19.6,9.984223161680587,0.2669785968255577,0
2,25.0,19.8,7.253116168823795,0.1615741090985245,0
2,25.2,19.8,10.173054653749803,0.1526739175384822,0
2,24.2,19.9,5.77779262496528,0.2888513276881898,0
0,31.6,22.6,9.306014715135404,1.4161072093866494,0
1,28.9,22.2,5.985760960709546,9.164447403058569,0
0,31.4,22.1,7.560986598028559,3.273842415531028,1
2,25.1,20.1,10.136909332283984,0.4838207207720332,0
1,29.2,21.4,7.2305352674191825,8.58197663354299,1
1,28.8,21.3,4.936899499059805,4.2329072096056,0
0,30.1,21.5,7.986998923152464,2.0392405521542947,1
1,28.1,21.2,7.107265667138831,4.209496239697577,1
1,27.8,21.2,5.87614056262874,7.751751488900306,0
2,25.3,19.9,7.226211198803888,0.7004054101618162,0
1,27.5,21.7,4.055129875562498,6.307764488370903,0
2,25.3,19.1,5.72666727814164,2.2311260036889022,0
1,27.7,21.7,6.625497207107805,5.210563064331221,1
0,30.2,21.8,4.762202882676203,4.021120518461274,0
2,25.0,19.3,9.33502360664128,0.8344102571418894,0
2,25.5,19.3,11.25808077530204,0.6937537197487093,0
1,26.5,21.5,7.202628250242655,3.446785674405678,1
2,24.5,20.2,9.650527900789116,1.4889347020758454,0
1,27.1,22.4,6.642718638529889,5.712747584052045,1
1,28.1,21.4,6.774056600559895,2.344939585695023,1
1,27.1,21.9,3.787647214877644,2.9299587247312275,0
0,27.5,21.7,6.079330823524376,4.708596117080107,1
0,28.7,21.5,9.577350712555983,1.584182765619928,0
0,30.1,21.9,7.700464262725064,0.9088277783877108,0
1,26.9,21.7,7.075459756789267,6.951211536947566,1
1,26.5,22.3,6.467676624890631,3.760965381108608,1
1,28.6,21.5,6.27087160543189,4.315168069694616,1
2,25.2,19.8,8.667066503726309,0.3782954505852482,0
0,30.2,21.8,7.634261688183633,0.5005654478480638,0
1,29.3,21.2,7.188902951505733,4.433074678093446,1
2,25.9,19.6,11.26074571201694,0.1753520767196746,0
0,29.0,22.4,7.299180029906603,0.3618521499563624,0
0,28.3,21.4,9.407067052400343,0.3070559628259501,0
0,29.7,21.7,7.250645022588604,0.8392849678973906,0
0,29.8,21.4,8.089828286916969,0.2268766348439787,0
2,25.5,20.2,10.518970142052574,0.0527704136810799,0
2,25.7,20.2,9.293860300634568,0.0,0
1,28.1,21.5,5.554384553614407,3.1571067997822926,0
2,24.9,20.5,9.570817334546168,0.0663808458481298,0
2,25.2,19.9,7.637533869367882,0.2642806327814412,0
0,31.7,21.8,5.102584403627747,0.1408802903349489,0
2,23.7,19.5,6.270383562355526,0.6671550792105475,0
1,28.3,21.6,5.397353373714341,3.5851031845906696,0
2,26.5,20.2,8.63717491698151,0.8828531331314718,0
2,25.3,20.5,5.543204217616874,2.98889067181403,0
1,27.7,21.2,4.581380504656162,8.238108099852235,0
0,31.9,22.1,8.51192377999649,0.0885830161948871,0
0,33.0,22.0,5.573549201272559,0.0701696352694574,0
1,28.2,21.6,5.966271167124606,5.087848619580208,0
2,23.4,20.5,3.2063211150508715,2.9500523338520077,0
2,22.1,20.1,6.804984219289447,1.4267380937583711,0
0,32.6,22.5,8.899686148668504,0.1230633695231823,0
1,28.3,21.1,4.653961845171046,6.522649851121433,0
0,31.2,22.7,6.325150474542742,0.2535112160788289,0
0,31.6,20.4,6.517049081639372,0.3056822542153943,0
1,27.6,22.1,5.402736203674011,5.941782652837903,0
2,22.6,20.2,8.29764871421421,1.0336074360339718,0
1,27.4,21.1,6.960806027391145,8.900621774084765,1
1,27.0,21.5,3.443994233358354,8.704066589203537,0
2,23.9,19.5,11.669026364320226,0.7970010460943071,0
1,28.1,21.0,5.790948688925472,3.701641880720567,0
2,24.1,19.3,6.687477824693532,0.8869905159742482,0
2,24.2,19.5,6.816151758136466,2.579275845437045,0
0,32.9,22.2,6.550725020132328,1.1321470019667,0
1,27.7,20.9,7.567870844579941,3.904285910525958,1
1,28.0,21.1,5.543113404415268,6.3655803195072345,0
0,30.4,21.9,7.877854549437671,0.6610307609556337,0
0,30.6,22.0,8.570714591055934,0.8319518475288918,0
1,27.6,21.2,6.633359034824071,8.051256043439215,1
0,30.2,22.0,10.53621061801322,1.0757646705059865,0
0,30.2,22.5,7.855834588043455,3.5470059939637486,1
2,25.2,18.8,6.2303624160757245,1.25232140022633,0
0,29.5,22.3,7.53567004073297,1.640148773966901,0
0,31.8,22.7,8.687284111283283,1.7261612004744633,0
1,28.1,21.2,6.7631315297957535,9.550737666232829,1
2,25.6,19.3,6.510486189625127,1.1416147701251502,0
0,30.2,22.4,5.311678234095133,2.37366226354733,0
1,28.0,21.4,5.856841414097198,9.50384607984247,0
2,24.1,18.9,6.342433280881633,3.1104802129308537,0
0,33.0,22.7,6.175508033821521,4.9763985035916924,1
2,22.9,19.5,3.883311120308277,1.196456688253596,0
1,28.4,20.8,6.059998935074821,3.903128714565241,1
1,28.5,21.6,7.325138981615518,3.5669215150543856,1
1,28.7,21.6,4.47287568206158,5.849850988194536,0
1,29.0,21.5,8.002692085423531,3.140144165309488,1
0,32.8,22.8,9.516232141162416,4.033572104846168,1
2,24.1,19.4,12.0,0.9543943807477204,0
1,26.5,21.4,5.280718251442391,6.739550540686356,0
0,31.2,22.3,4.800632148919372,2.3115408046777666,0
0,30.6,22.7,8.6174131085389,2.11414511722316,1
1,26.2,21.5,6.490060836466188,8.585387300190053,1
1,27.0,22.1,7.382179298773598,6.698260122947033,1
0,29.7,22.4,6.583597517733509,4.385644684384156,1
1,28.0,21.3,4.030596249198701,5.078355626182538,0
0,30.4,22.1,5.478555067281016,1.462182460584885,0
1,26.7,20.3,6.529282806085603,2.591896638568552,1
0,31.6,21.6,7.031260564274457,1.1910728573709428,0
1,26.4,21.0,4.839203978542276,3.360885960281744,0
1,25.3,21.5,5.769197749580775,3.437413464982647,0
2,24.9,18.9,9.363876484918464,0.9603923490854712,0
0,30.2,21.5,9.437606981057998,1.4355998953591766,0
1,26.8,21.2,8.627224165439427,3.779277806974025,1
0,32.3,22.1,10.003157611121011,2.909553858758545,1
2,25.0,19.7,3.810574513833784,1.4566977254869922,0
2,25.4,19.5,3.3066544073393533,2.683893623983134,0
0,31.9,22.3,8.970049224077108,1.6860348405710723,0
1,27.5,21.4,5.06461368941336,8.546222922289342,0
2,24.8,20.4,5.21643505909797,5.364369953275193,0
1,27.8,20.9,3.581102393481537,8.381321743727714,0
1,28.6,21.0,6.631762219244274,4.67263150876138,1
0,30.8,21.9,6.780513608654951,4.333759931273593,1
0,31.5,22.3,6.451857139184923,1.3438029486422944,0
2,24.9,20.0,3.559996163860632,4.240715232333986,0
2,22.3,20.3,5.606122790777107,3.480886700472115,0
1,28.4,20.9,7.11220278085677,4.008197295544315,1
1,28.6,21.0,6.320444825217561,6.345331977749908,1
1,27.8,21.5,7.032617892543016,8.877786994217992,1
2,23.4,20.6,7.308610220025098,2.063917967903577,1
2,24.5,20.5,6.0736690691681785,2.437226142122402,1
2,22.9,20.1,9.852789973015124,1.8985645085989216,0
2,24.7,20.0,6.345051275195324,1.398028989904512,0
1,26.4,21.5,6.395065713999704,9.43232523845884,1
0,30.0,21.5,8.020443369417803,1.0406226138070278,0
0,31.0,21.7,7.748980875808319,0.8112962069656781,0
2,24.3,19.2,6.406913740848259,0.8034357158276249,0
1,27.5,20.8,4.273387177147743,9.884328934925255,0
0,33.4,21.6,6.871563195017767,0.7695352757634772,0
0,32.5,21.8,3.558087174887453,1.2613047434632283,0
1,27.4,21.1,7.44503198925632,8.745477522443077,1
0,31.6,22.0,4.9943051061171495,4.131724350550814,0
1,28.1,21.0,2.021852089028036,10.645052699509868,0
1,27.9,21.3,4.855812114573181,11.28059535322052,0
1,28.9,21.2,4.887353320488069,5.673527735266865,0
