temperature_c,rainfall_cm_year,irrigation_available,soil_type,soil_ph,soil_water_retention,topography,sunlight_hours_day,humidity_percent,altitude_m,flooding_duration_days,soil_nutrient_level,drainage_capacity,temp_variation_c,extreme_weather_events,growing_season_days,proximity_water_km,wind_speed_ms,pest_pressure,latitude_deg,harsh_condition_type,suitability,is_perfect_weather
30.48103074128203,150.59865472228253,0,Clay,4.8730977343688116,48.56710193999815,Gently Sloping,6.048937566839871,73.15371833133456,111.41598669369712,82.86212287038606,High,Moderate,8.116657428579716,0,102.88096377488054,29.30196301274406,1.2498795834148444,Moderate,33.040391503186704,None,0,0
27.145681250374214,167.11863584936336,1,Sandy,5.918155953247716,45.031634245426915,Terraced,8.625092269074061,84.87367004135996,329.94999585831175,112.60513616783057,Medium,Moderate,4.456794479038332,3,90.78046712262885,20.091532669623135,6.650591523954138,Moderate,12.881809885944836,Storm,0,0
31.582925767488863,444.42943577796444,1,Loam,7.182239714455083,50.761313961812036,Gently Sloping,7.142419377382732,90.37029519365915,408.5815272153296,141.6286893762745,High,Moderate,3.9836879430836065,0,124.7342526038487,4.822809359726783,1.3669527061545823,High,17.586504583753282,Severe Flood,0,0
35.14326765105141,208.93785218595303,1,Loam,6.674000732265287,27.095449301363654,Gently Sloping,5.556998272857124,64.23910373764953,243.4637868142877,75.91285422369715,Medium,Good,2.0,4,157.91350034653792,10.765903547290872,7.516451126770434,Moderate,1.0938056358795238,Storm,0,0
26.501618173251355,356.42420078144863,1,Rocky,4.815601397748813,27.90397867251274,Gently Sloping,6.34450183933363,79.24685355660222,1149.817341059503,54.54001002114399,Medium,Poor,5.0005650238868675,0,121.57218090620695,26.601503585570523,0.9957364696326716,Moderate,2.3669283678745074,None,0,0
26.880876895957215,147.1700486271419,0,Loam,7.1984839206513795,33.08599286118551,Flat,3.0519703331526142,56.26421835135813,251.59485172904914,79.4544388549552,Medium,Poor,2.0,1,108.2950360036883,6.687999579437483,1.520984610511365,Moderate,4.393647214812912,None,0,0
35.677121390521584,336.027046519172,0,Alluvial,6.515034343633685,38.53867253028462,Steep,5.83286359298543,93.9529470688158,149.45572502379432,73.25314600540575,High,Good,3.3126222567551618,0,109.2631039183671,16.739123640597604,1.4987033059769657,Low,17.14713104772832,Steep Terrain,0,0
31.310128745578588,428.8591238521604,1,Alluvial,5.407498942542027,39.43905162962387,Flat,5.183349057964687,63.96239101094069,101.04179115676668,136.15359150998765,High,Moderate,4.6077557454278955,0,83.86154679062624,6.043663848495331,0.5,Low,18.476083618394995,Severe Flood,0,0
26.47212164894511,62.7428377012639,0,Clay,4.348691431571976,33.24544532690477,Steep,8.496445010100437,50.293289523219215,872.3660143604327,85.40255975304392,Low,Moderate,2.474964823778447,1,124.00647272257922,35.28628334716966,1.201279927497454,Low,12.696815151004216,Drought,0,0
31.54097244357507,54.122878897023064,0,Clay,6.336981747680726,41.8509395719382,Terraced,8.462631962955252,43.04642368928369,2480.534502577444,92.67086230130036,Medium,Good,8.370234081589942,1,116.67635961139443,11.03719049336275,3.524385961409522,Moderate,5.847401866731317,Drought,0,0
26.0040691124551,82.44325469765297,1,Rocky,5.852046150622597,30.576281257438843,Gently Sloping,4.664218735019698,40.541333523550826,269.48659747700106,123.17120229342439,Low,Moderate,11.624185456358735,1,154.64472532759117,2.923936233440336,1.5554552411072318,Low,3.920087105541259,Drought,0,0
